Compaint_No,Complaint,Complaint Category,Company,Problem,Summary,Pin Code,City,team
1001,"I am writing to file a complaint regarding the erroneous credit reporting by EQUIFAX, INC. (PA 19153), wherein my credit report contains incorrect information that belongs to someone else.",Credit Reporting.,"EQUIFAX, INC.",Erroneous credit reporting,Erroneous credit reporting.,PA 19153,PA 19153,Credit Team
1002,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., as I have identified unauthorized credit inquiries on my report that I do not recognize, which occurred in SC 29212.",Improper credit report.,"EQUIFAX, INC.",Unauthorized credit inquiries.,Unauthorized credit inquiries.,SC 29212,SC 29212,Credit Team
1003,"I am filing a complaint regarding Credit reporting or other personal consumer reports with EQUIFAX, INC., as I encountered a problem with the company's investigation into an existing issue, specifically that I was not notified of the investigation status or results, and this occurred in SC 29418.",Credit reporting,"EQUIFAX, INC.",Investigation status notification,Credit report complaint.,29418,Charleston,Credit Team
1004,"I am writing to file a complaint regarding an issue with my credit report from EQUIFAX, INC., as I have identified incorrect account information listed on my report, and I reside in SC 29483.",Credit Report Issue,"EQUIFAX, INC.",Incorrect account information.,Complaint about credit report.,SC 29483,SC 29483,Credit Team
1005,"I am filing a complaint regarding credit reporting by EQUIFAX, INC. in LA 70122, as my report contains incorrect information that belongs to someone else.",Credit reporting,"EQUIFAX, INC.",Incorrect information.,Complaint about incorrect information.,70122,LA,Credit Team
1006,"I am writing to file a complaint regarding my credit report from EQUIFAX, INC. (CA 93313), which contains incorrect information belonging to someone else, impacting my personal consumer report inaccurately.",Credit Report.,"EQUIFAX, INC.",Incorrect information.,Incorrect credit report,93313,CA 93313,Credit Team
1007,"I am filing a complaint against EQUIFAX, INC. in CT 06790 for the improper use of my credit report, as they have utilized my personal consumer report without proper authorization.",Improper use.,"EQUIFAX, INC.",Improper use report,Improper credit use,06790,Torrington,Breach Support
1008,"I would like to file a complaint regarding credit reporting with EQUIFAX, INC., as there is incorrect information on my report that belongs to someone else, and I am located in CT 06010.",Credit reporting.,"EQUIFAX, INC.",Incorrect information.,Incorrect information reported.,06010,Bristol,Credit Team
1009,"I am writing to file a complaint regarding incorrect information on my credit report provided by EQUIFAX, INC., as it contains information that belongs to someone else, and I reside in CA 93308.",Credit report error,"EQUIFAX, INC.",Incorrect information.,Complaint about credit report.,93308,CA 93308,Credit Team
1010,"I am writing to file a complaint regarding the incorrect account information on my credit report provided by EQUIFAX, INC., as my report contains inaccuracies that need urgent correction in NJ 07083.",Incorrect account information,"EQUIFAX, INC.",Incorrect account information,Inaccurate credit report.,07083,Union.,Information Team
1011,"I would like to file a complaint regarding my credit report from EQUIFAX, INC. as it contains incorrect information that belongs to someone else, and I reside in GA 30331.",Credit Report Error,"EQUIFAX, INC.",Incorrect information.,Incorrect credit report.,30331,GA 30331,Credit Team
1012,"I am writing to file a complaint regarding incorrect account information on my credit report, specifically related to EQUIFAX, INC., in FL 33470, as the information provided is inaccurate and adversely affects my credit standing.",Incorrect account information,"EQUIFAX, INC.",Incorrect account information,Incorrect account information.,FL 33470,FL 33470,Information Team
1013,"I am writing to file a complaint regarding my credit report from EQUIFAX, INC., as it contains incorrect information that belongs to someone else; I reside in TX 76010.",Credit report error,"EQUIFAX, INC.",Incorrect information.,Incorrect credit report,76010,Arlington,Credit Team
1014,"I am filing a complaint regarding credit reporting with EQUIFAX, INC., as there is incorrect information on my report that belongs to someone else, and I am located in TX 75243.",Credit reporting,"EQUIFAX, INC.",Incorrect information.,Incorrect information reported.,TX 75243,Dallas,Credit Team
1015,"I am writing to formally complain about an incorrect account status on my credit report, which was provided by Experian Information Solutions Inc.; the erroneous information pertains to my personal consumer report in IL 60431.",Incorrect account status,Experian Information Solutions,Incorrect account status.,Incorrect account status.,60431,IL 60431,Information Team
1016,"I am writing to file a complaint against EQUIFAX, INC. for attempting to collect a debt that does not belong to me (TX 75601).",Debt Collection,"EQUIFAX, INC.",Attempting to collect.,Complaint against EQUIFAX.,TX 75601,Longview,Debt Team
1017,"I am writing to formally complain about the difficulty I have experienced in submitting a dispute and obtaining information about a dispute over the phone with EQUIFAX, INC. regarding a problem with the company's investigation into an existing issue with my credit report, located in FL 32778.",Credit report dispute,"EQUIFAX, INC.",Investigation issue.,Complaint about dispute.,FL 32778,FL 32778,Credit Team
1018,"I am writing to file a complaint regarding the credit reporting issue with Experian Information Solutions Inc. (IN 46239) concerning a problem with their investigation into an existing error on my credit report; despite their investigation, the error remains unresolved.",Credit reporting issue,Experian Information Solutions,Credit reporting issue,Credit reporting issue.,IN 46239,IN 46239,Credit Team
1019,"I am writing to file a complaint regarding incorrect information on my credit report, specifically the account status, which has been inaccurately reported by EQUIFAX, INC., affecting my credit standing in NY 11412.",Credit report error,"EQUIFAX, INC.",Incorrect information reported.,Incorrect info complaint.,NY 11412,NY 11412,Credit Team
1020,"I am writing to file a complaint as Equifax, Inc. in FL 32835 failed to correct an error on my credit report despite conducting an investigation into an existing issue.",Credit Report Error,"Equifax, Inc.",Error on report,Equifax error complaint,32835,FL 32835,Credit Team
1021,"I am writing to file a complaint regarding improper use of my credit report by EQUIFAX, INC., as there are credit inquiries on my report that I do not recognize, specifically in SC 29708.",Credit report issue,"EQUIFAX, INC.",Improper credit inquiries.,Complaint about EQUIFAX.,SC 29708,SC 29708,Credit Team
1022,"I am writing to file a complaint regarding EQUIFAX, INC. in OH 43219, as their investigation into my credit report issue failed to correct an error, thereby leaving inaccurate information on my report.",Credit report error,"EQUIFAX, INC.",Credit report error,Equifax report error,43219,OH 43219,Credit Team
1023,"I am filing a complaint regarding a credit reporting issue with EQUIFAX, INC. (located in TX 77071), as their investigation into an existing problem failed to correct an error on my report.",Credit reporting issue,"EQUIFAX, INC.",Credit reporting issue,Complaint about error.,77071,Houston,Credit Team
1024,"I am writing to file a complaint regarding incorrect information on my credit report from TransUnion Intermediate Holdings, Inc., specifically account information errors, associated with my report in FL 33161.",Credit report errors,TransUnion Intermediate Holdings,Incorrect information.,Incorrect account information.,FL 33161,FL 33161,Credit Team
1025,"I am writing to formally complain about the incorrect account information on my credit report provided by TransUnion Intermediate Holdings, Inc., concerning my address in FL 33161, which has negatively impacted my credit reporting.",Incorrect account information,TransUnion Intermediate Holdings,Incorrect account information,Incorrect account information.,FL 33161,FL 33161,Information Team
1026,"I am writing to file a complaint regarding the improper use of my credit report by TRANSUNION INTERMEDIATE HOLDINGS, INC. as I have noticed unrecognized credit inquiries on my report, which I believe constitute an unauthorized and potentially fraudulent action in North Carolina 28216.",Credit report misuse,TRANSUNION INTERMEDIATE HOLDINGS,Improper credit inquiries,Improper credit inquiries.,28216,North Carolina,Credit Team
1027,"I am writing to file a complaint against Experian Information Solutions Inc. for including incorrect information on my credit report that belongs to someone else, as referenced in my report from TN 37013.",Incorrect information.,Experian Information Solutions,Incorrect information included,Incorrect information included.,TN 37013,TN 37013,Information Team
1028,"I am writing to file a complaint regarding the incorrect information on my credit report issued by EQUIFAX, INC., specifically related to account information inaccuracies, with reference to my location in AL 358XX.",Credit report inaccuracies,"EQUIFAX, INC.",Account inaccuracies.,"Incorrect credit report.

1. Which company?  
   Equifax, Inc.

2. What issue?  
   Account inaccuracies.

3. Where located?  
   AL 358XX.",AL 358XX,AL 358XX,Credit Team
1029,"I would like to file a complaint regarding incorrect information on my credit report concerning account information reported by TRANSUNION INTERMEDIATE HOLDINGS, INC., as I reside in MI 48235 and have identified discrepancies that need to be rectified immediately.",Credit Reporting,TRANSUNION INTERMEDIATE HOLDINGS,Incorrect information reported,Incorrect info complaint.,MI 48235,MI 48235,Credit Team
1030,"I am writing to file a complaint regarding my credit report from EQUIFAX, INC., as there is incorrect information, specifically missing details that should be included on my report; I reside in IL 60643.",Credit Report.,"EQUIFAX, INC.",Incorrect information.,Complaint about credit report.,IL 60643,Chicago,Credit Team
1031,"I am filing a complaint against EQUIFAX, INC. in TX 78741 because I received a written notification about a debt that did not disclose it was an attempt to collect a debt, which I believe is a violation of debt collection regulations.",Debt collection violation,"EQUIFAX, INC.",Violation of regulations,Complaint against Equifax.,78741,Austin,Debt Team
1032,"I am writing to file a complaint regarding a credit reporting issue with EQUIFAX, INC. in Ohio 43068, specifically concerning their inadequate investigation into an existing problem which failed to rectify an error on my credit report.",Credit reporting issue,"EQUIFAX, INC.",Credit reporting issue,Credit reporting issue.,43068,Ohio,Credit Team
1033,"I am writing to file a complaint regarding incorrect account information on my credit report from Equifax, Inc., as it inaccurately reflects my account details; I reside in FL 34787.",Incorrect account information,"Equifax, Inc.",Incorrect account information,Incorrect account info.,FL 34787,Winter Garden,Information Team
1034,"I am writing to file a complaint regarding the inadequate handling of an investigation by EQUIFAX, INC. concerning an issue with my credit reporting; specifically, I was not notified of the investigation status or results, which has caused significant frustration and inconvenience, and this matter pertains to my residence in FL 33896.",Credit reporting.,"EQUIFAX, INC.",Inadequate investigation handling.,Inadequate investigation handling.,FL 33896,FL 33896,Credit Team
1035,"I am writing to file a complaint regarding my credit report, which erroneously includes information that belongs to someone else; this incorrect information has been reported by TransUnion Intermediate Holdings, Inc., and I request an immediate correction of this issue.",Credit Report Error,TransUnion Intermediate Holdings,Erroneous credit report,Erroneous credit report.,No Pin Code,Not specified,Credit Team
1036,"I am filing a complaint regarding the improper use of my credit report by EQUIFAX, INC., as they misused my personal consumer report in violation of standard procedures which has affected my credit standing; this incident occurred in TX 77082.",Credit Report Misuse,"EQUIFAX, INC.",Improper credit report use,Improper credit report usage.,77082,Houston,Credit Team
1037,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., located in NC 28314, as they have utilized my personal consumer report inappropriately.",Improper credit report,"EQUIFAX, INC.",Improper use of credit report,Improper credit report usage.,NC 28314,NC 28314,Credit Team
1038,"I am writing to file a complaint regarding the incorrect information on my credit report provided by EQUIFAX, INC. in TX 76227, specifically noting that essential information is missing and should be included in the report.",Credit report error,"EQUIFAX, INC.",Incorrect information provided,Incorrect credit report.,76227,TX 76227,Credit Team
1039,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., as I have noticed unrecognized credit inquiries on my report in AL 360XX.",Improper credit report,"EQUIFAX, INC.",Improper credit inquiries,Improper credit inquiries.,AL 360XX,AL 360XX,Credit Team
1040,"I am writing to file a complaint regarding improper use of my credit report, specifically concerning unrecognized credit inquiries listed on my report from EQUIFAX, INC., with a location noted in FL 34286.",Credit report misuse,"EQUIFAX, INC.",Improper credit inquiries,Improper credit inquiry,FL 34286,FL 34286,Credit Team
1041,"I am writing to file a complaint against EQUIFAX, INC. located in NC 27127 for the improper use of my credit report, as I believe the reporting company has used my personal consumer report inappropriately.",Improper use.,"EQUIFAX, INC.",Improper credit use,Improper credit report.,27127,Winston-Salem,Breach Support
1042,"I am filing a complaint regarding the improper use of my personal consumer report by EQUIFAX, INC., as they unlawfully utilized my credit report in CA 92108 without my consent or legitimate reason.",Credit report misuse,"EQUIFAX, INC.",Improper use.,Improper credit report use.,CA 92108,San Diego,Credit Team
1043,"I am writing to file a complaint regarding my credit report from EQUIFAX, INC., as it contains incorrect information that belongs to someone else; this error, which pertains to my report in FL 33138, is causing me significant distress and needs urgent correction.",Credit Report Error,"EQUIFAX, INC.",Incorrect information.,"Incorrect information, urgent correction.",FL 33138,FL 33138,Credit Team
1044,"I am writing to file a complaint regarding an issue with my credit report, specifically that incorrect information belonging to someone else has been included in my report by Equifax, Inc., and I reside in NY 10016.",Credit report issue,"Equifax, Inc.",Incorrect information included,Incorrect info included,NY 10016,NY,Credit Team
1045,"I am writing to file a complaint regarding incorrect account information on my credit report provided by EQUIFAX, INC. in FL 34787.",Incorrect information.,"EQUIFAX, INC.",Incorrect account information,Incorrect account information.,FL 34787,FL 34787,Information Team
1046,"I am writing to file a complaint regarding Credit reporting or other personal consumer reports, specifically concerning a problem with Experian Information Solutions Inc.'s investigation into an existing error on my report, which remains unresolved despite their efforts; the issue is persisting and negatively impacting my credit standing in MN XXXXX.",Credit reporting.,Experian Information Solutions Inc.,Existing error unresolved.,Experian report error,MN XXXXX,MN.,Credit Team
1047,"I am filing a complaint regarding the improper use of my credit report by TRANSUNION INTERMEDIATE HOLDINGS, INC., located in GA 30122, as they have used my personal consumer report without proper authorization.",Improper Use.,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Improper credit report use,Unauthorized use complaint.,GA 30122,GA 30122,Breach Support
1048,"I am writing to file a complaint regarding an issue with my credit report from TransUnion Intermediate Holdings, Inc., as it contains incorrect information that belongs to someone else, and I reside in MI 48238.",Credit Report Issue,TransUnion Intermediate Holdings,Incorrect information.,Incorrect credit report.,MI 48238,Detroit,Credit Team
1049,"I am writing to file a complaint regarding an issue with my credit report from EQUIFAX, INC., where I found incorrect information that belongs to someone else; this occurred in Texas, 77303.",Credit Report Issue,"EQUIFAX, INC.",Incorrect information found.,Incorrect credit information.,77303,Texas,Credit Team
1050,"I am writing to file a complaint regarding incorrect account information on my credit report provided by EQUIFAX, INC. in MD 21093.",Incorrect Information,"EQUIFAX, INC.",Incorrect account information.,Incorrect credit report.,MD 21093,MD 21093,Information Team
1051,"I am filing a complaint because LFG Data Services Holdings, LP improperly used my credit report in FL 33904.",Credit report misuse,LFG Data Services,Improper credit use,Complaint about misuse.,FL 33904,Cape Coral,Credit Team
1052,"I am writing to file a complaint regarding the incorrect information on my credit report, specifically concerning account information, which has been inaccurately reported by EQUIFAX, INC. in Florida, 33028.",Credit Report Error,"EQUIFAX, INC.",Incorrect information reported.,Incorrect info reported.,33028,Florida,Credit Team
1053,"I am writing to file a complaint regarding the credit reporting by EQUIFAX, INC. (AL 36467), as my credit report contains incorrect information that belongs to someone else.",Credit reporting error,"EQUIFAX, INC.",Incorrect credit information,Incorrect credit information.,36467,AL 36467,Credit Team
1054,"I am writing to file a complaint regarding incorrect information on my credit report from EQUIFAX, INC., as it contains information that belongs to someone else, and I am located in MA 02657.",Incorrect information.,"EQUIFAX, INC.",Incorrect information.,Incorrect info credit report.,02657,MA 02657,Information Team
1055,"I am filing a complaint regarding credit reporting or other personal consumer reports with EQUIFAX, INC, as there is incorrect information on my report with old information that reappears or never goes away, and this issue is affecting my credit standing in Provincetown, MA 02657.",Credit reporting.,"EQUIFAX, INC",Incorrect information reappears,Incorrect info reappearing.,02657,Provincetown.,Credit Team
1056,"I am writing to file a complaint regarding LFG Data Services Holdings, LP in TX 75253, for their insufficient investigation into an existing issue with my credit report, as their investigation failed to correct an error on my report.",Credit report error,LFG Data Services,Insufficient investigation.,Insufficient investigation credit.,75253,TX 75253,Credit Team
1057,"I am filing a complaint regarding the improper use of my credit report by TRANSUNION INTERMEDIATE HOLDINGS, INC., located in TX 78217, as they have utilized my personal consumer report without authorization.",Credit report misuse,TRANSUNION INTERMEDIATE HOLDINGS,Improper use report,Unauthorized credit report use,78217,TX 78217,Credit Team
1058,"I am writing to formally lodge a complaint regarding an error on my credit report issued by TransUnion Intermediate Holdings, Inc., as it contains information that belongs to someone else, under the category of credit reporting or other personal consumer reports, specifically related to incorrect information on my report; my postal code is PR 00638.",Credit reporting,TransUnion Intermediate Holdings,Incorrect information reported,Error on credit report.,PR 00638,PR 00638,Credit Team
1059,"I am filing a complaint regarding the improper use of my credit report by Experian Information Solutions Inc., which occurred in TX 76119, as I believe my personal consumer report was used without my consent.",Improper Credit Report Use,Experian Information Solutions,Improper use credit report,Improper credit use.,TX 76119,TX 76119,Credit Team
1060,"I am writing to file a complaint regarding the improper use of my credit report by TRANSUNION INTERMEDIATE HOLDINGS, INC., located in CT 06515, as they have misused my personal consumer report without proper authorization.",Credit Report Misuse,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Improper use report,Improper report use.,06515,CT 06515,Credit Team
1061,"I am writing to complain about incorrect account information on my credit report, as provided by TRANSUNION INTERMEDIATE HOLDINGS, INC., in CA 94110.",Credit Report Error,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Incorrect account information,Incorrect account information.,94110,CA 94110,Credit Team
1062,"I am writing to file a complaint regarding incorrect information on my credit report with TransUnion Intermediate Holdings, Inc., as the report contains information that belongs to someone else; my location is NJ 08201.",Incorrect information.,TransUnion Intermediate Holdings.,Incorrect information.,"Incorrect credit report.

What is the issue?

Incorrect information.

Where is the incorrect information?

Credit report.

Who is the report with?

TransUnion Intermediate Holdings, Inc.

Where is the customer located?

NJ 08201.",NJ 08201,NJ,Information Team
1063,"I am writing to file a complaint regarding incorrect information on my credit report, where details belonging to someone else have been mistakenly included on my report by TRANSUNION INTERMEDIATE HOLDINGS, INC., located in PA 18466.",Incorrect Information.,TRANSUNION INTERMEDIATE HOLDINGS,Incorrect information included,Incorrect information included.,PA 18466,PA 18466,Information Team
1064,"I am writing to file a complaint regarding incorrect information on my credit report with TRANSUNION INTERMEDIATE HOLDINGS, INC. in Florida (ZIP code 33319), specifically concerning the incorrect status of my account.",Incorrect information.,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Incorrect account status,Incorrect account status.,33319,Florida,Information Team
1065,"I am writing to file a complaint regarding incorrect account information on my credit report from TRANSUNION INTERMEDIATE HOLDINGS, INC., located in GA 30296, as it contains inaccuracies that need to be rectified immediately.",Incorrect account information,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Incorrect account information,Incorrect account information.,GA 30296,GA 30296,Information Team
1066,"I am filing a complaint regarding improper use of my credit report by EQUIFAX, INC. in TN 37043.",Credit report misuse,"EQUIFAX, INC.",Improper use.,"1. Complaint about?
- Improper use

2. Company involved?
- EQUIFAX, INC.

3. Location mentioned?
- TN 37043",37043,Clarksville,Credit Team
1067,"I am writing to file a complaint regarding an issue with my credit report from Experian Information Solutions Inc. in NC 280XX, which contains incorrect information about my account status.",Credit report issue,Experian Information Solutions,Incorrect account status.,Complaint about incorrect information,NC 280XX,NC,Credit Team
1068,"I am writing to file a complaint regarding the credit reporting service provided by TRANSUNION INTERMEDIATE HOLDINGS, INC., as I have identified incorrect information on my credit report that belongs to someone else, and I reside in WA 98367.",Credit reporting service.,TRANSUNION INTERMEDIATE HOLDINGS,Incorrect information.,Incorrect credit information.,WA 98367,Port Orchard,Credit Team
